"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0003-2046-8017","5c0f7a46da562944ac786132","rodrigues","","ana maria rodrigues","ana m rodrigues","viviana tavares"
"0000-0002-0180-7522","56d86aeedabfae2eeec65cd5","kazanskiy","","nikolay kazanskiy","nikolay l kazanskiy","m s polikarpov"
"0000-0002-9566-5149","56d908b3dabfae2eee07f324","johansson","","milla johansson","m johansson","o p mattila"
"0000-0001-9276-9607","553c22130cf260430588f908","kyung tae","","kyung tae kang","kang kyung tae","kim kwang soo"
"0000-0001-5477-558X","55a44160c91b587b0973e6df","dong hyun","","dong hyun yang","yang dong hyun","seo dong-man"
"0000-0001-9048-2194","55a4d32365ceb7cb02d926f8","fatoumata","","fatoumata niang","niang fatoumata","jaubert anne-marie"
"0000-0002-6385-5773","56d901a8dabfae2eeedb7b1d","lei zhang","","lei zhang","lei zhang","ke wang"
"0000-0001-8186-4481","55a4d1c765ceb7cb02d91299","yoshimura","","yukinori yoshimura","yoshimura y","zhang m"
"0000-0002-7936-5488","53e9a6e0b7602d9703017dcd","frederick","","paul frederick","paul d. frederick","william j. french"
"0000-0003-1275-681X","55a6cc4b65ce054aad762f07","sodickson","","aaron sodickson","sodickson aaron d","desai naman s"
"0000-0002-6857-9704","56d81916dabfae2eee86e39e","sipacheva","","ol'ga sipacheva","olga v sipacheva",""
"0000-0002-4100-3131","5aeda2a71965cf1298957f1f","kristofer","","kristofer thurecht","kristofer j. thurecht","adrian v. fuchs"
"0000-0003-2854-0239","55a6b46265ce054aad71fee4","berghella","","vincenzo berghella","berghella vincenzo","saccone gabriele"
"0000-0003-1698-2128","5c0f8528da562944ac901c18","uri banin","","uri banin","uri banin","eran rabani"
"0000-0002-4618-295X","5c0f7805da562944ac7325aa","wei-chung","","wei-chung lee","wei-chung allen lee","rachel i wilson"
"0000-0001-5267-1728","53e9a35fb7602d9702c6bb44","tijun fan","","tijun fan","tijun fan","kin keung lai"
"0000-0001-7304-1629","55a49cdc612ca648689d9723","varettoni","","marzia varettoni","varettoni m","malcovati l"
"0000-0003-4566-1753","53e9aa7ab7602d97033f422f","marquardt","","florian marquardt","f. marquardt","v. meden"
"0000-0001-8702-8636","56d8e5a2dabfae2eee2f5c72","oreskovic","","nicolas oreskovic","nicolas m oreskovic","daniel s kurowski"
"0000-0002-9256-262X","55a4f80f65ceb7cb02dd6072","fröhlich","","matthias fröhlich","fröhlich matthias","hoffmann sebastian"
"0000-0002-8055-0576","53e9a5b6b7602d9702edf303","agnieszka","","agnieszka blachnio-zabielska","agnieszka błachnio-zabielska","piotr zabielski"
"0000-0001-8860-405X","53e9a8dbb7602d970322d82e","altemeier","","william altemeier","william a. altemeier","gustavo matute-bello"
"0000-0002-7632-0954","55a5585e65ceb7cb02e916e2","gülseren","","oğuz gülseren","gülseren oğuz","günendi m can"
"0000-0003-4432-7681","56d82652dabfae2eeedf59d5","shinohara","","takenao shinohara","takashi shinohara","yoshiaki kiyanagi"
"0000-0002-0942-1624","56d8b956dabfae2eee224654","seiji ito","","seiji ito","seiji ito","tayo katano"
"0000-0001-7045-3601","56d8f2afdabfae2eee7f37be","dorafshar","","amir dorafshar","amir h dorafshar","michael bryerash"
"0000-0002-0313-5686","5c0f7bf4da562944ac7c3a63","boellaard","","ronald boellaard","r boellaard","r iqbal"
"0000-0003-3331-2329","53e9a6b5b7602d9702fe9641","stephen a","","stephen a woods","stephen a. woods","malika singh"
"0000-0001-8827-162X","55a4b6a5c91bf3b1cc44b84e","kwangsung","","kwangsung park","park kwangsung","jung seung il"
"0000-0002-8604-1203","56d8f148dabfae2eee768a35","cassanjes","","fábia cassanjes","f c cassanjes","a s gouveianeto"
"0000-0001-9855-974X","55a3e7f365ce5cd7b3bc514e","greenhill","","claire greenhill","greenhill claire",""
"0000-0002-2692-5605","55a69fa965ce054aad6e463b","selohilwe","","one selohilwe","selohilwe one m","petersen inge"
"0000-0002-0085-5266","53e99dfeb7602d97026bf857","renbi bai","","renbi bai","renbi bai","wei han"
"0000-0003-0370-6095","55a3e0eb65ce5cd7b3bb23de","manoharan","","vinothan manoharan","manoharan vinothan n","perro adeline"
"0000-0001-8173-4273","56d8df3cdabfae2eee0748dd","stapanian","","martin stapanian","martin a stapanian","molly m amos"
"0000-0002-6503-6026","53e9b7e7b7602d9704394fd1","beatrice ","","beatrice  bocca","beatrice bocca","sergio caroli"
