"orcid","pm_id","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-6963-6942","29859041","dion forstner","","dion forstner","dion forstner","jim l yong"
"0000-0003-3188-5115","20541555","daniela boehm","","daniela boehm","daniela boehm","mohamed al-rubeai"
"0000-0002-1676-7738","26779287","van zonneveld","","anton jan van zonneveld","anton-jan van zonneveld","adri van oudenaren"
"0000-0001-5000-0584","31670568","benedek kurdi","","benedek kurdi","benedek kurdi","thomas c mann"
"0000-0002-8800-2400","20948627","vicente rubio","","vicente rubio","vicente rubio","xing wang deng"
"0000-0001-8930-6361","26560406","simone pomati","","simone pomati","simone pomati","alessandra marcone"
"0000-0003-4590-4225","16306456","job harenberg","","job harenberg","job harenberg","hans-christoph diener"
"0000-0002-9334-8684","23744657","christodoulou","","anthony christodoulou","anthony g christodoulou","chien ho"
"0000-0001-5305-3673","14652830","van der sande","","frank van der sande","f m van der sande","r dammers"
"0000-0002-1624-4240","26012866","luigi auletta","","luigi auletta","luigi auletta","vasile vulpe"
"0000-0001-5306-847X","28209831","intikhab alam","","intikhab alam","intikhab alam","vladimir b bajic"
